ST,CD,Name,Region ID
NE,5,CENTRAL,2505
NE,6,EAST CENTRAL,2506
NE,7,SOUTHWEST,2507
NE,8,SOUTH CENTRAL,2508
NE,9,SOUTHEAST,2509
NV,1,NORTHWESTERN,2601
NV,2,NORTHEASTERN,2602
NV,3,SOUTH CENTRAL,2603
NV,4,EXTREME SOUTHERN,2604
NH,1,NORTHERN,2701
NH,2,SOUTHERN,2702
NJ,1,NORTHERN,2801
NJ,2,SOUTHERN,2802
NJ,3,COASTAL,2803
NM,1,NORTHWESTERN PLATEAU,2901
NM,2,NORTHERN MOUNTAINS,2902
NM,3,NORTHEASTERN PLAINS,2903
NM,4,SOUTHWESTERN MOUNTAINS,2904
NM,5,CENTRAL VALLEY,2905
NM,6,CENTRAL HIGHLANDS,2906
NM,7,SOUTHEASTERN PLAINS,2907
NM,8,SOUTHERN DESERT,2908
NY,1,WESTERN PLATEAU,3001
NY,2,EASTERN PLATEAU,3002
NY,3,NORTHERN PLATEAU,3003
NY,4,COASTAL,3004
NY,5,HUDSON VALLEY,3005
NY,6,MOHAWK VALLEY,3006
NY,7,CHAMPLAIN VALLEY,3007
NY,8,ST. LAWRENCE VALLEY,3008
NY,9,GREAT LAKES,3009
NY,10,CENTRAL LAKES,3010
NC,1,SOUTHERN MOUNTAINS,3101
NC,2,NORTHERN MOUNTAINS,3102
NC,3,NORTHERN PIEDMONT,3103
NC,4,CENTRAL PIEDMONT,3104
NC,5,SOUTHERN PIEDMONT,3105
NC,6,SOUTHERN COASTAL PLAIN,3106
NC,7,CENTRAL COASTAL PLAIN,3107
NC,8,NORTHERN COASTAL PLAIN,3108
ND,1,NORTHWEST,3201
ND,2,NORTH CENTRAL,3202
ND,3,NORTHEAST,3203
ND,4,WEST CENTRAL,3204
ND,5,CENTRAL,3205
ND,6,EAST CENTRAL,3206
ND,7,SOUTHWEST,3207
ND,8,SOUTH CENTRAL,3208
ND,9,SOUTHEAST,3209
OH,1,NORTHWEST,3301
OH,2,NORTH CENTRAL,3302
OH,3,NORTHEAST,3303
OH,4,WEST CENTRAL,3304
OH,5,CENTRAL,3305
OH,6,EAST CENTRAL,3306
OH,7,NORTHEAST HILLS,3307
OH,8,SOUTHWEST,3308
OH,9,SOUTH CENTRAL,3309
OH,10,SOUTHEAST,3310
OK,1,PANHANDLE,3401
OK,2,NORTH CENTRAL,3402
OK,3,NORTHEAST,3403
OK,4,WEST CENTRAL,3404
OK,5,CENTRAL,3405
OK,6,EAST CENTRAL,3406
OK,7,SOUTHWEST,3407
OK,8,SOUTH CENTRAL,3408
OK,9,SOUTHEAST,3409
OR,1,COASTAL AREA,3501
OR,2,WILLAMETTE VALLEY,3502
OR,3,SOUTHWESTERN VALLEYS,3503
OR,4,NORTHERN CASCADES,3504
OR,5,HIGH PLATEAU,3505
OR,6,NORTH CENTRAL,3506
OR,7,SOUTH CENTRAL,3507
OR,8,NORTHEAST,3508
OR,9,SOUTHEAST,3509
PA,1,POCONO MOUNTAINS,3601
PA,2,EAST CENTRAL MOUNTAINS,3602
PA,3,SOUTHEASTERN PIEDMONT,3603
PA,4,LOWER SUSQUEHANNA,3604
PA,5,MIDDLE SUSQUEHANNA,3605
